"","year","region","cons_or_not","averagevoteshare"
"226",2002,"Jeju","0",49.2241544965411
"227",2002,"Jeju","1",50.7758455034589
"228",2002,"Jeonbuk","0",58.1080015766654
"229",2002,"Jeonbuk","1",4.30271974773354
"230",2002,"Jeonbuk","2",37.5892786756011
"231",2002,"Seoul","0",31.7628788474028
"232",2002,"Seoul","1",53.0849861844103
"233",2002,"Seoul","2",15.1521349681869
"234",2002,"Ulsan","0",23.5346636310879
"235",2002,"Ulsan","1",74.7841614213651
"236",2002,"Ulsan","2",1.68117494754698
"237",2003,"Gyeonggi","0",48.5786138684414
"238",2003,"Gyeonggi","1",48.6174051621953
"239",2003,"Gyeonggi","2",2.80398096936337
"240",2003,"Seoul","0",51.1902098527898
"241",2003,"Seoul","1",48.8097901472102
"242",2004,"Busan","0",42.6803003414843
"243",2004,"Busan","1",52.6084762700341
"244",2004,"Busan","2",7.06683508272233
"245",2004,"Chungbuk","0",55.1349645928312
"246",2004,"Chungbuk","1",41.5874412605879
"247",2004,"Chungbuk","2",6.5551882931619
"248",2004,"Chungnam","0",44.4773527355026
"249",2004,"Chungnam","1",50.2390051656684
"250",2004,"Chungnam","2",6.6045526235363
"251",2004,"Daegu","0",30.5802305976276
"252",2004,"Daegu","1",63.4417626288316
"253",2004,"Daegu","2",7.97067569805437
"254",2004,"Daejeon","0",50.5613168062798
"255",2004,"Daejeon","1",43.8729571026007
"256",2004,"Daejeon","2",11.1314521822389
"257",2004,"Gangwon","0",50.4557544999097
"258",2004,"Gangwon","1",43.2586015454559
"259",2004,"Gangwon","2",8.38085860617918
"260",2004,"Gwangju","0",95.8234298037793
"261",2004,"Gwangju","1",0.701586393066261
"262",2004,"Gwangju","2",5.14561188164277
"263",2004,"Gyeongbuk","0",29.4501874631582
"264",2004,"Gyeongbuk","1",55.1848528650208
"265",2004,"Gyeongbuk","2",20.9522177343014
"266",2004,"Gyeonggi","0",57.1792104225853
"267",2004,"Gyeonggi","1",40.8208565508228
"268",2004,"Gyeonggi","2",4.45439628650014
"269",2004,"Gyeongnam","0",42.5503415109078
"270",2004,"Gyeongnam","1",49.074841238371
"271",2004,"Gyeongnam","2",10.951684097097
"272",2004,"Incheon","0",57.3958778386385
"273",2004,"Incheon","1",39.9019799250569
"274",2004,"Incheon","2",6.48514136713113
"275",2004,"Jeju","0",56.8752657772706
"276",2004,"Jeju","1",38.9114977545832
"277",2004,"Jeju","2",12.6397094044388
"278",2004,"Jeonbuk","0",87.0787069728142
"279",2004,"Jeonbuk","1",1.79294385884694
"280",2004,"Jeonbuk","2",17.3185419476687
"281",2004,"Jeonnam","0",89.50413195784
"282",2004,"Jeonnam","1",2.13990761331596
"283",2004,"Jeonnam","2",16.7410165754622
"284",2004,"Seoul","0",56.5428807265764
"285",2004,"Seoul","1",41.9582120550653
"286",2004,"Seoul","2",3.42607364196188
"287",2004,"Ulsan","0",50.2032799885966
"288",2004,"Ulsan","1",49.4017239819901
"289",2004,"Ulsan","2",2.36997617647969
"290",2005,"Chungnam","0",36.6099089866136
"291",2005,"Chungnam","1",32.1192962571961
"292",2005,"Chungnam","2",30.0205036215061
"293",2005,"Daegu","0",46.0214592274678
"294",2005,"Daegu","1",52.4177396280401
"295",2005,"Daegu","2",1.56080114449213
"296",2005,"Gyeongbuk","0",48.7085241423636
"297",2005,"Gyeongbuk","1",51.2914758576364
"298",2005,"Gyeonggi","0",43.9387468312525
"299",2005,"Gyeonggi","1",45.7420492175039
"300",2005,"Gyeonggi","2",13.041817918341
"301",2005,"Gyeongnam","0",35.3676085818943
"302",2005,"Gyeongnam","1",61.281179138322
"303",2005,"Gyeongnam","2",3.35121227978371
"304",2005,"Ulsan","0",50.914816438793
"305",2005,"Ulsan","1",49.085183561207
"306",2006,"Gyeonggi","0",48.0928088665614
"307",2006,"Gyeonggi","1",48.0332496050962
"308",2006,"Gyeonggi","2",3.87394152834244
"309",2006,"Gyeongnam","0",24.5740573779966
"310",2006,"Gyeongnam","1",47.5067619113669
"311",2006,"Gyeongnam","2",27.9191807106364
"312",2006,"Incheon","0",42.2932880800515
"313",2006,"Incheon","1",57.7067119199485
"314",2006,"Jeonnam","0",91.7904332684626
"315",2006,"Jeonnam","1",8.20956673153744
"316",2006,"Seoul","0",41.563465539804
"317",2006,"Seoul","1",58.436534460196
"318",2007,"Daejeon","0",2.76620789568997
"319",2007,"Daejeon","1",97.23379210431
"320",2007,"Gyeonggi","0",42.969441744952
"321",2007,"Gyeonggi","1",57.030558255048
"322",2007,"Jeonnam","0",49.7065509402769
"323",2007,"Jeonnam","1",11.8784872907626
"324",2007,"Jeonnam","2",38.4149617689605
"325",2008,"Busan","0",19.5998808923089
"326",2008,"Busan","1",60.2626922939126
"327",2008,"Busan","2",45.3092103310015
"328",2008,"Chungbuk","0",39.445984131158
"329",2008,"Chungbuk","1",57.7691918199342
"330",2008,"Chungbuk","2",11.139296195631
"331",2008,"Chungnam","0",16.6756883293192
"332",2008,"Chungnam","1",79.5527864849064
"333",2008,"Chungnam","2",18.8576259288722
"334",2008,"Daegu","0",8.40766526677242
"335",2008,"Daegu","1",80.805271659433
"336",2008,"Daegu","2",32.3611892213837
"337",2008,"Daejeon","0",26.3859521712882
"338",2008,"Daejeon","1",70.3930744627669
"339",2008,"Daejeon","2",6.44194673188972
"340",2008,"Gangwon","0",31.0717077786662
"341",2008,"Gangwon","1",51.6220879367584
"342",2008,"Gangwon","2",34.6124085691507
"343",2008,"Gwangju","0",77.2735681450077
"344",2008,"Gwangju","1",6.683250854143
"345",2008,"Gwangju","2",32.0863620016985
"346",2008,"Gyeongbuk","0",6.91831342696002
"347",2008,"Gyeongbuk","1",61.2063899949781
"348",2008,"Gyeongbuk","2",43.4663135155389
"349",2008,"Gyeonggi","0",42.8146806669445
"350",2008,"Gyeonggi","1",54.6200974432607
"351",2008,"Gyeonggi","2",13.0826316379535
"352",2008,"Gyeongnam","0",21.8637242072638
"353",2008,"Gyeongnam","1",57.5617655363913
"354",2008,"Gyeongnam","2",31.7969703961693
"355",2008,"Incheon","0",38.1194784023675
"356",2008,"Incheon","1",52.2645817384768
"357",2008,"Incheon","2",28.8478195774671
